Species	gtdb_taxonomy	genus	sp	accession	gtdb_type_species_of_genus	Oxygen tolerance raw	Oxygen tolerance	random_id
Sulfuricurvum kujiense	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfuricurvum;s__Sulfuricurvum kujiense	g__Sulfuricurvum	s__Sulfuricurvum kujiense	RS_GCF_000183725.1	t	anaerobe	anaerobe	4541
Paucibacter toxinivorans	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Paucibacter;s__Paucibacter toxinivorans	g__Paucibacter	s__Paucibacter toxinivorans	RS_GCF_004362525.1	t	aerobe	aerobe	4541
Methanothermus fervidus	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanothermaceae;g__Methanothermus;s__Methanothermus fervidus	g__Methanothermus	s__Methanothermus fervidus	RS_GCF_000166095.1	t	anaerobe	anaerobe	4540
Phorcysia thermohydrogeniphila	d__Bacteria;p__Aquificota;c__Desulfurobacteriia;o__Desulfurobacteriales;f__Desulfurobacteriaceae;g__Phorcysia;s__Phorcysia thermohydrogeniphila	g__Phorcysia	s__Phorcysia thermohydrogeniphila	RS_GCF_004339575.1	t	anaerobe	anaerobe	4536
Desulfomicrobium baculatum	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfomicrobiaceae;g__Desulfomicrobium;s__Desulfomicrobium baculatum	g__Desulfomicrobium	s__Desulfomicrobium baculatum	RS_GCF_000023225.1	t	anaerobe	anaerobe	4529
Geobacter metallireducens	d__Bacteria;p__Desulfobacterota_F;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter;s__Geobacter metallireducens	g__Geobacter	s__Geobacter metallireducens	RS_GCF_000012925.1	t	anaerobe	anaerobe	4527
Sulfurivirga caldicuralii	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiomicrospirales;f__Thiomicrospiraceae;g__Sulfurivirga;s__Sulfurivirga caldicuralii	g__Sulfurivirga	s__Sulfurivirga caldicuralii	RS_GCF_900141795.1	t	microaerophile	aerobe	4525
Alistipes putredinis	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis	g__Alistipes	s__Alistipes putredinis	RS_GCF_000154465.1	t	anaerobe	anaerobe	4522
Fervidicoccus fontis	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Fervidicoccaceae;g__Fervidicoccus;s__Fervidicoccus fontis	g__Fervidicoccus	s__Fervidicoccus fontis	RS_GCF_000258425.1	t	anaerobe	anaerobe	4519
Oceanicella actignis	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Oceanicella;s__Oceanicella actignis	g__Oceanicella	s__Oceanicella actignis	RS_GCF_008124525.1	t	aerobe	aerobe	4515
Thiorhodococcus minor	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Thiorhodococcus;s__Thiorhodococcus minor	g__Thiorhodococcus	s__Thiorhodococcus minor	RS_GCF_010820565.1	t	anaerobe	anaerobe	4514
Desulfonispora thiosulfatigenes	d__Bacteria;p__Firmicutes_B;c__Peptococcia;o__Peptococcales;f__Desulfonisporaceae;g__Desulfonispora;s__Desulfonispora thiosulfatigenes	g__Desulfonispora	s__Desulfonispora thiosulfatigenes	RS_GCF_900176035.1	t	anaerobe	anaerobe	4514
Neptunicella marina	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Neptunicella;s__Neptunicella marina	g__Neptunicella	s__Neptunicella marina	RS_GCF_014270035.1	t	aerobe	aerobe	4510
Alcaligenes faecalis	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Alcaligenes;s__Alcaligenes faecalis	g__Alcaligenes	s__Alcaligenes faecalis	RS_GCF_002443155.1	t	aerobe	aerobe	4508
Allobranchiibius huperziae	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Allobranchiibius;s__Allobranchiibius huperziae	g__Allobranchiibius	s__Allobranchiibius huperziae	RS_GCF_013410455.1	t	aerobe	aerobe	4506
Aliifodinibius roseus	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__Aliifodinibius;s__Aliifodinibius roseus	g__Aliifodinibius	s__Aliifodinibius roseus	RS_GCF_900129315.1	t	facultative anaerobe	aerobe	4504
Nubsella zeaxanthinifaciens	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__Pedobacter zeaxanthinifaciens	g__Pedobacter	s__Pedobacter zeaxanthinifaciens	RS_GCF_003313335.1	t	aerobe	aerobe	4504
Mycoavidus cysteinexigens	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Mycoavidus;s__Mycoavidus cysteinexigens	g__Mycoavidus	s__Mycoavidus cysteinexigens	RS_GCF_003966915.1	t	aerobe	aerobe	4499
Desulfofundulus kuznetsovii	d__Bacteria;p__Firmicutes_B;c__Desulfotomaculia;o__Desulfotomaculales;f__Desulfovirgulaceae;g__Desulfofundulus;s__Desulfofundulus kuznetsovii	g__Desulfofundulus	s__Desulfofundulus kuznetsovii	GB_GCA_000214705.1	t	anaerobe	anaerobe	4493
Kytococcus sedentarius	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Kytococcus;s__Kytococcus sedentarius	g__Kytococcus	s__Kytococcus sedentarius	RS_GCF_000023925.1	t	aerobe	aerobe	4492
Eudoraea adriatica	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Eudoraea;s__Eudoraea adriatica	g__Eudoraea	s__Eudoraea adriatica	RS_GCF_000382125.1	t	aerobe	aerobe	4487
Sulfurifustis variabilis	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidiferrobacterales;f__Sulfurifustaceae;g__Sulfurifustis;s__Sulfurifustis variabilis	g__Sulfurifustis	s__Sulfurifustis variabilis	RS_GCF_002355415.1	t	microaerophile	aerobe	4485
Longibaculum muris	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Longibaculum;s__Longibaculum muris	g__Longibaculum	s__Longibaculum muris	RS_GCF_004343035.1	t	anaerobe	anaerobe	4484
Sciscionella marina	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Pseudonocardiaceae;g__Sciscionella;s__Sciscionella marina	g__Sciscionella	s__Sciscionella marina	RS_GCF_000379465.1	t	aerobe	aerobe	4482
Ferriphaselus amnicola	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Ferriphaselus;s__Ferriphaselus amnicola	g__Ferriphaselus	s__Ferriphaselus amnicola	RS_GCF_000974685.2	t	microaerophile	aerobe	4481
Maribacter sedimenticola	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Maribacter;s__Maribacter sedimenticola	g__Maribacter	s__Maribacter sedimenticola	RS_GCF_900188415.1	t	aerobe	aerobe	4480
Thermoanaerobaculum aquaticum	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae;g__Thermoanaerobaculum;s__Thermoanaerobaculum aquaticum	g__Thermoanaerobaculum	s__Thermoanaerobaculum aquaticum	RS_GCF_000687145.1	t	anaerobe	anaerobe	4471
Leeia oryzae	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Leeiaceae;g__Leeia;s__Leeia oryzae	g__Leeia	s__Leeia oryzae	RS_GCF_000376945.1	t	aerobe	aerobe	4468
Millisia brevis	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Millisia;s__Millisia brevis	g__Millisia	s__Millisia brevis	RS_GCF_001552615.1	t	aerobe	aerobe	4467
Desulforegula conservatrix	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulforegulaceae;g__Desulforegula;s__Desulforegula conservatrix	g__Desulforegula	s__Desulforegula conservatrix	RS_GCF_000426225.1	t	anaerobe	anaerobe	4465
Robiginitalea biformata	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Robiginitalea;s__Robiginitalea biformata	g__Robiginitalea	s__Robiginitalea biformata	RS_GCF_000024125.1	t	aerobe	aerobe	4464
Pectinatus cerevisiiphilus	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Pectinatus;s__Pectinatus cerevisiiphilus	g__Pectinatus	s__Pectinatus cerevisiiphilus	RS_GCF_004341685.1	t	anaerobe	anaerobe	4461
Murimonas intestini	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Murimonas;s__Murimonas intestini	g__Murimonas	s__Murimonas intestini	GB_GCA_003148945.1	t	anaerobe	anaerobe	4458
Lutispora thermophila	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lutisporales;f__Lutisporaceae;g__Lutispora;s__Lutispora thermophila	g__Lutispora	s__Lutispora thermophila	RS_GCF_900142105.1	t	anaerobe	anaerobe	4453
Blastococcus aggregatus	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Geodermatophilaceae;g__Blastococcus;s__Blastococcus aggregatus	g__Blastococcus	s__Blastococcus aggregatus	RS_GCF_900221005.1	t	aerobe	aerobe	4449
Lacibacter cauensis	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Lacibacter;s__Lacibacter cauensis	g__Lacibacter	s__Lacibacter cauensis	RS_GCF_007830055.1	t	aerobe	aerobe	4446
Williamsia muralis	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Williamsia;s__Williamsia muralis	g__Williamsia	s__Williamsia muralis	RS_GCF_001598915.1	t	microaerophile	aerobe	4441
Centipeda periodontii	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Centipeda;s__Centipeda periodontii	g__Centipeda	s__Centipeda periodontii	RS_GCF_000213975.1	t	anaerobe	anaerobe	4439
Dokdonella koreensis	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Dokdonella;s__Dokdonella koreensis	g__Dokdonella	s__Dokdonella koreensis	RS_GCF_001632775.1	t	aerobe	aerobe	4439
Sphingosinicella microcystinivorans	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingosinicella;s__Sphingosinicella microcystinivorans	g__Sphingosinicella	s__Sphingosinicella microcystinivorans	RS_GCF_003634215.1	t	aerobe	aerobe	4439
Desulfococcus multivorans	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfococcaceae;g__Desulfococcus;s__Desulfococcus multivorans	g__Desulfococcus	s__Desulfococcus multivorans	RS_GCF_001854245.1	t	anaerobe	anaerobe	4435
Cognatishimia maritima	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cognatishimia;s__Cognatishimia maritima	g__Cognatishimia	s__Cognatishimia maritima	RS_GCF_900129685.1	t	aerobe	aerobe	4432
Natribacillus halophilus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_H;f__Marinococcaceae;g__Natribacillus;s__Natribacillus halophilus	g__Natribacillus	s__Natribacillus halophilus	RS_GCF_900100185.1	t	aerobe	aerobe	4431
Pectobacterium carotovorum	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium carotovorum	g__Pectobacterium	s__Pectobacterium carotovorum	RS_GCF_900129615.1	t	aerobe	aerobe	4425
Chryseobacterium gleum	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;s__Chryseobacterium gleum	g__Chryseobacterium	s__Chryseobacterium gleum	RS_GCF_900636535.1	t	aerobe	aerobe	4422
Methanofollis tationis	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanofollaceae;g__Methanofollis;s__Methanofollis tationis	g__Methanofollis	s__Methanofollis tationis	RS_GCF_013377755.1	t	anaerobe	anaerobe	4421
Methylibium petroleiphilum	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Methylibium;s__Methylibium petroleiphilum	g__Methylibium	s__Methylibium petroleiphilum	RS_GCF_000015725.1	t	facultative aerobe	aerobe	4419
Nisaea denitrificans	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Thalassobaculales;f__Nisaeaceae;g__Nisaea;s__Nisaea denitrificans	g__Nisaea	s__Nisaea denitrificans	RS_GCF_000426505.1	t	aerobe	aerobe	4415
Limnobacter thiooxidans	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Limnobacter;s__Limnobacter thiooxidans	g__Limnobacter	s__Limnobacter thiooxidans	GB_GCA_004291335.1	t	obligate aerobe	aerobe	4410
Spinactinospora alkalitolerans	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptosporangiales;f__Streptosporangiaceae;g__Spinactinospora;s__Spinactinospora alkalitolerans	g__Spinactinospora	s__Spinactinospora alkalitolerans	RS_GCF_013408795.1	t	aerobe	aerobe	4406
Marispirochaeta aestuarii	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__JC444;f__Marispirochaetaceae;g__Marispirochaeta;s__Marispirochaeta aestuarii	g__Marispirochaeta	s__Marispirochaeta aestuarii	RS_GCF_002087085.1	t	obligate anaerobe	anaerobe	4405
Methanobacterium formicicum	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium formicicum	g__Methanobacterium	s__Methanobacterium formicicum	GB_GCA_001316325.1	t	anaerobe	anaerobe	4391
Flexistipes sinusarabici	d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Flexistipitaceae;g__Flexistipes;s__Flexistipes sinusarabici	g__Flexistipes	s__Flexistipes sinusarabici	RS_GCF_000218625.1	t	anaerobe	anaerobe	4387
Marinicauda pacifica	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Maricaulaceae;g__Marinicauda;s__Marinicauda pacifica	g__Marinicauda	s__Marinicauda pacifica	RS_GCF_004793635.1	t	aerobe	aerobe	4385
Kordiimonas gwangyangensis	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Kordiimonadaceae;g__Kordiimonas;s__Kordiimonas gwangyangensis	g__Kordiimonas	s__Kordiimonas gwangyangensis	RS_GCF_000375545.1	t	aerobe	aerobe	4381
Yeosuana aromativorans	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Yeosuana;s__Yeosuana aromativorans	g__Yeosuana	s__Yeosuana aromativorans	GB_GCA_014646655.1	t	aerobe	aerobe	4379
Azotobacter chroococcum	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Azotobacter;s__Azotobacter chroococcum	g__Azotobacter	s__Azotobacter chroococcum	RS_GCF_004339665.1	t	aerobe	aerobe	4378
Aestuariimicrobium kwangyangense	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Aestuariimicrobium;s__Aestuariimicrobium kwangyangense	g__Aestuariimicrobium	s__Aestuariimicrobium kwangyangense	RS_GCF_000421525.1	t	aerobe	aerobe	4377
Haematomicrobium sanguinis	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Haematomicrobium;s__Haematomicrobium sanguinis	g__Haematomicrobium	s__Haematomicrobium sanguinis	RS_GCF_000688395.1	t	microaerophile	aerobe	4373
Anaerobacillus arseniciselenatis	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_H;f__Anaerobacillaceae;g__Anaerobacillus;s__Anaerobacillus arseniciselenatis	g__Anaerobacillus	s__Anaerobacillus arseniciselenatis	RS_GCF_001865995.1	t	anaerobe	anaerobe	4369
Malonomonas rubra	d__Bacteria;p__Desulfobacterota_F;c__Desulfuromonadia;o__Desulfuromonadales;f__Geopsychrobacteraceae;g__Malonomonas;s__Malonomonas rubra	g__Malonomonas	s__Malonomonas rubra	RS_GCF_900142125.1	t	anaerobe	anaerobe	4361
Allochromatium vinosum	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Allochromatium;s__Allochromatium vinosum	g__Allochromatium	s__Allochromatium vinosum	RS_GCF_000025485.1	t	anaerobe	anaerobe	4351
Ardenticatena maritima	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Ardenticatenales;f__Ardenticatenaceae;g__Ardenticatena;s__Ardenticatena maritima	g__Ardenticatena	s__Ardenticatena maritima	RS_GCF_001306175.1	t	facultative aerobe	aerobe	4349
Belliella baltica	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Belliella;s__Belliella baltica	g__Belliella	s__Belliella baltica	RS_GCF_000265405.1	t	aerobe	aerobe	4348
Chromobacterium violaceum	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Chromobacteriaceae;g__Chromobacterium;s__Chromobacterium violaceum	g__Chromobacterium	s__Chromobacterium violaceum	RS_GCF_000007705.1	t	aerobe	aerobe	4348
Riemerella anatipestifer	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Riemerella;s__Riemerella anatipestifer	g__Riemerella	s__Riemerella anatipestifer	RS_GCF_000252855.1	t	aerobe,microaerophile	aerobe	4335
Aquaticitalea lipolytica	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aquaticitalea;s__Aquaticitalea lipolytica	g__Aquaticitalea	s__Aquaticitalea lipolytica	GB_GCA_014641635.1	t	aerobe	aerobe	4325
Actinobaculum suis	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinobaculum;s__Actinobaculum suis	g__Actinobaculum	s__Actinobaculum suis	RS_GCF_900102025.1	t	anaerobe,obligate anaerobe	anaerobe	4325
Crenalkalicoccus roseus	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Crenalkalicoccus;s__Crenalkalicoccus roseus	g__Crenalkalicoccus	s__Crenalkalicoccus roseus	RS_GCF_004761865.1	t	aerobe	aerobe	4320
Litoricola lipolytica	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Litoricolaceae;g__Litoricola;s__Litoricola lipolytica	g__Litoricola	s__Litoricola lipolytica	RS_GCF_009650135.1	t	facultative aerobe	aerobe	4316
Desulfonauticus submarinus	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfonauticaceae;g__Desulfonauticus;s__Desulfonauticus submarinus	g__Desulfonauticus	s__Desulfonauticus submarinus	RS_GCF_900104045.1	t	anaerobe	anaerobe	4306
Denitratisoma oestradiolicum	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Denitratisoma;s__Denitratisoma oestradiolicum	g__Denitratisoma	s__Denitratisoma oestradiolicum	RS_GCF_902813185.1	t	aerobe	aerobe	4303
Fluviicola taffensis	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__Fluviicola;s__Fluviicola taffensis	g__Fluviicola	s__Fluviicola taffensis	RS_GCF_000194605.1	t	aerobe	aerobe	4302
Mitsuokella multacida	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Mitsuokella;s__Mitsuokella multacida	g__Mitsuokella	s__Mitsuokella multacida	RS_GCF_000155955.1	t	anaerobe	anaerobe	4301
Anaerostipes caccae	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes caccae	g__Anaerostipes	s__Anaerostipes caccae	RS_GCF_014467075.1	t	anaerobe	anaerobe	4291
Methanomethylovorans hollandica	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanomethylovorans;s__Methanomethylovorans hollandica	g__Methanomethylovorans	s__Methanomethylovorans hollandica	RS_GCF_000328665.1	t	anaerobe	anaerobe	4287
Auraticoccus monumenti	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Auraticoccus;s__Auraticoccus monumenti	g__Auraticoccus	s__Auraticoccus monumenti	RS_GCF_900101785.1	t	aerobe	aerobe	4284
Desulfatitalea tepidiphila	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae;g__Desulfatitalea;s__Desulfatitalea tepidiphila	g__Desulfatitalea	s__Desulfatitalea tepidiphila	RS_GCF_001293685.1	t	anaerobe	anaerobe	4274
Dyadobacter fermentans	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae;g__Dyadobacter;s__Dyadobacter fermentans	g__Dyadobacter	s__Dyadobacter fermentans	RS_GCF_000023125.1	t	aerobe	aerobe	4273
Nitritalea halalkaliphila	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Nitritalea;s__Nitritalea halalkaliphila	g__Nitritalea	s__Nitritalea halalkaliphila	RS_GCF_000265075.1	t	aerobe	aerobe	4268
Pyramidobacter piscolens	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Dethiosulfovibrionaceae;g__Pyramidobacter;s__Pyramidobacter piscolens	g__Pyramidobacter	s__Pyramidobacter piscolens	RS_GCF_000177335.1	t	anaerobe	anaerobe	4265
Tenuibacillus multivorans	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_D;f__Alkalibacillaceae;g__Tenuibacillus;s__Tenuibacillus multivorans	g__Tenuibacillus	s__Tenuibacillus multivorans	RS_GCF_900103915.1	t	aerobe	aerobe	4262
Selenomonas sputigena	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Selenomonas;s__Selenomonas sputigena	g__Selenomonas	s__Selenomonas sputigena	RS_GCF_000208405.1	t	anaerobe	anaerobe	4260
Corynebacterium diphtheriae	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium diphtheriae	g__Corynebacterium	s__Corynebacterium diphtheriae	RS_GCF_001457455.1	t	microaerophile	aerobe	4258
Rhodomicrobium vannielii	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Rhodomicrobium;s__Rhodomicrobium vannielii	g__Rhodomicrobium	s__Rhodomicrobium vannielii	RS_GCF_000166055.1	t	anaerobe	anaerobe	4256
Mangrovimonas yunxiaonensis	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Mangrovimonas;s__Mangrovimonas yunxiaonensis	g__Mangrovimonas	s__Mangrovimonas yunxiaonensis	RS_GCF_000733475.1	t	aerobe	aerobe	4249
Methylohalobius crimeensis	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylothermaceae;g__Methylohalobius;s__Methylohalobius crimeensis	g__Methylohalobius	s__Methylohalobius crimeensis	RS_GCF_000421465.1	t	aerobe	aerobe	4238
Faecalibacterium prausnitzii	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii	g__Faecalibacterium	s__Faecalibacterium prausnitzii	RS_GCF_003324185.1	t	anaerobe	anaerobe	4227
Puniceicoccus vermicola	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Puniceicoccaceae;g__Puniceicoccus;s__Puniceicoccus vermicola	g__Puniceicoccus	s__Puniceicoccus vermicola	RS_GCF_014230055.1	t	facultative anaerobe	aerobe	4224
Chthonomonas calidirosea	d__Bacteria;p__Armatimonadota;c__Chthonomonadetes;o__Chthonomonadales;f__Chthonomonadaceae;g__Chthonomonas;s__Chthonomonas calidirosea	g__Chthonomonas	s__Chthonomonas calidirosea	RS_GCF_000427095.1	t	aerobe	aerobe	4220
Paludibacterium yongneupense	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Chromobacteriaceae;g__Paludibacterium;s__Paludibacterium yongneupense	g__Paludibacterium	s__Paludibacterium yongneupense	RS_GCF_000422925.1	t	facultative anaerobe	aerobe	4216
Xenophilus azovorans	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Xenophilus;s__Xenophilus azovorans	g__Xenophilus	s__Xenophilus azovorans	RS_GCF_000745855.1	t	aerobe	aerobe	4215
Comamonas terrigena	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__Comamonas terrigena	g__Comamonas	s__Comamonas terrigena	RS_GCF_900461435.1	t	aerobe	aerobe	4207
Butyricicoccus pullicaecorum	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus;s__Butyricicoccus pullicaecorum	g__Butyricicoccus	s__Butyricicoccus pullicaecorum	RS_GCF_900167005.1	t	anaerobe	anaerobe	4177
Methanothermococcus thermolithotrophicus	d__Archaea;p__Methanobacteriota;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanothermococcus;s__Methanothermococcus thermolithotrophicus	g__Methanothermococcus	s__Methanothermococcus thermolithotrophicus	RS_GCF_000376965.1	t	anaerobe	anaerobe	4174
Stenoxybacter acetivorans	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Stenoxybacter;s__Stenoxybacter acetivorans	g__Stenoxybacter	s__Stenoxybacter acetivorans	RS_GCF_000745895.1	t	microaerophile	aerobe	4172
Extensimonas vulgaris	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Extensimonas;s__Extensimonas vulgaris	g__Extensimonas	s__Extensimonas vulgaris	RS_GCF_003337425.1	t	aerobe	aerobe	4172
